id,nombre,popularity,artista,pais,genero
169,"For Your Babies (Live at Ziggo Dome, Amsterdam)",1,Simply Red,LI,NULL
170,Shape of You,83,Ed Sheeran,LI,pop
171,"So Beautiful (Live at Ziggo Dome, Amsterdam)",1,Simply Red,LI,NULL
172,Pink + White,83,Frank Ocean,LI,NULL
173,Matador (feat. Tommy),1,"CAPO, Tommy",LI,NULL
174,lovely (with Khalid),83,"Billie Eilish, Khalid",LI,NULL
175,Milion słów,1,Jula,LI,polish
176,Closer,82,"The Chainsmokers, Halsey",LI,NULL
177,"Your Mirror (Live at Ziggo Dome, Amsterdam)",1,Simply Red,LI,NULL
178,Believer,81,Imagine Dragons,LI,rock
179,Дождь (feat. МакSим),1,"Geegun, MAKSIM",LI,NULL
180,goosebumps,81,Travis Scott,LI,MySpotigramBot
181,"Someday in My Life (Live at Ziggo Dome, Amsterdam)",0,Simply Red,LI,NULL
182,Dandelions,81,Ruth B.,LI,pop
183,"Ee Khalbitha (From ""IDI"")",0,"Rahul Raj, Suchith Sureshan",LI,NULL
184,White Ferrari,81,Frank Ocean,LI,singer-songwriter
185,Stretch,0,Louise,LI,great quality stuff
186,Someone You Loved,81,Lewis Capaldi,LI,2010s
187,"A New Flame (Live at Ziggo Dome, Amsterdam)",0,Simply Red,LI,NULL
188,One Dance,81,"Drake, Wizkid, Kyla",LI,NULL
189,Die Heelal (feat. Early B),0,"Janie Bay, Early B",LI,NULL
190,Ransom,81,Lil Tecca,LI,2010s
191,Sirenen,0,Tommy,LI,NULL
192,The Hills,81,The Weeknd,LI,rnb
193,言葉のいらない約束,0,sana,LI,J-rock
194,Die For You,81,The Weeknd,LI,rnb
195,Do It Like You Mean It (feat. Yoel 905),0,"Frans, Yoel905",LI,NULL
196,Best Part (feat. H.E.R.),81,"Daniel Caesar, H.E.R.",LI,NULL
197,Pakete,0,Tommy,LI,NULL
198,There's Nothing Holdin' Me Back,81,Shawn Mendes,LI,pop
199,Stronger Together,0,"Paul van Dyk, Pierre Pienaar",LI,NULL
200,The Night We Met,85,Lord Huron,BE,indie
201,"Holding Back the Years (Live at Ziggo Dome, Amsterdam)",2,Simply Red,BE,NULL
202,All The Stars (with SZA),90,"Kendrick Lamar, SZA",BE,NULL
203,"Greenwood, Philip Selway, Edward O'Brien, Colin Greenwood: Pyramid Song (Arr. Lawson)",3,"Jonny Greenwood, Thom Yorke, Philip Selway, Edward O’Brien, Colin Greenwood, VOCES8, Thomas Gould, Matthew Sharp, Eleanor Turner",BE,NULL
204,lovely (with Khalid),83,"Billie Eilish, Khalid",BE,NULL
205,Enamorado,2,Alexander Stewart,BE,pop
206,See You Again (feat. Kali Uchis),86,"Tyler, The Creator, Kali Uchis",BE,NULL
207,I'm Better (feat. Lamb),2,"Missy Elliott, Lamb",BE,NULL
208,Someone You Loved,81,Lewis Capaldi,BE,2010s
209,Слэмятся пацаны,2,"Little Big, Ruki Vverh!",BE,NULL
210,Shallow,79,"Lady Gaga, Bradley Cooper",BE,NULL
211,"Your Mirror (Live at Ziggo Dome, Amsterdam)",1,Simply Red,BE,NULL
212,when the party's over,80,Billie Eilish,BE,pop
213,"So Beautiful (Live at Ziggo Dome, Amsterdam)",1,Simply Red,BE,NULL
214,Sous la lune,70,Jul,BE,NULL
215,"Say You Love Me (Live at Ziggo Dome, Amsterdam)",1,Simply Red,BE,NULL
216,La vie qu'on mène,68,Ninho,BE,NULL
217,Tabarnak,0,Volo,BE,NULL
218,Lush Life,77,Zara Larsson,BE,pop
219,"For Your Babies (Live at Ziggo Dome, Amsterdam)",1,Simply Red,BE,NULL
220,Est-ce que tu m'aimes ? - Pilule bleue,71,GIMS,BE,MySpotigramBot
221,"Someday in My Life (Live at Ziggo Dome, Amsterdam)",0,Simply Red,BE,NULL
222,Où aller,55,GIMS,BE,NULL
223,Wenn jetzt Sommer wär (feat. Chapeau Claque),0,"Pretty Pink, Chapeau Claque",BE,NULL
224,Vrais,68,Ninho,BE,NULL
225,"A New Flame (Live at Ziggo Dome, Amsterdam)",0,Simply Red,BE,NULL
226,Where's My Love,76,SYML,BE,teen wolf
227,In Betweenin',0,Austin Brown,BE,NULL
228,Always Remember Us This Way,79,Lady Gaga,BE,Love
229,Allez (feat. Leto),0,"MEL, Leto",BE,NULL
230,Shape of You,83,Ed Sheeran,BE,pop
231,Дождь (feat. МакSим),1,"Geegun, MAKSIM",BE,NULL
232,Something Just Like This,83,"The Chainsmokers, Coldplay",BE,NULL
233,Even Angels (feat. Blas Cantó),0,"Carlos Marco, Blas Cantó",BE,NULL
234,Believer,81,Imagine Dragons,BE,rock
235,"Ee Khalbitha (From ""IDI"")",0,"Rahul Raj, Suchith Sureshan",BE,NULL
236,Putana,67,Ninho,BE,NULL
237,Skrrt,7,"K27, Einar",BE,NULL
238,ocean eyes,79,Billie Eilish,BE,indie
239,Did You Love Me,0,Shannon & the Clams,BE,NULL
240,Are You With Me,75,Lost Frequencies,BE,deep house
241,All I've Ever Known,0,"Grace Hodgett Young, Dónal Finn",BE,NULL
242,Perfect,83,Ed Sheeran,BE,Ballad
243,Slow Songs,0,Lisa,BE,NULL
244,HUMBLE.,84,Kendrick Lamar,BE,rap
245,Strangers With A Memory,0,Lisa,BE,NULL
246,Big Daddy Jok,66,Jok'air,BE,NULL
247,Stretch,0,Louise,BE,great quality stuff
248,Swim,83,Chase Atlantic,BE,seen live
249,Downtown,14,"Anitta, J Balvin",BE,NULL
250,All The Stars (with SZA),90,"Kendrick Lamar, SZA",LU,NULL
251,"Greenwood, Philip Selway, Edward O'Brien, Colin Greenwood: Pyramid Song (Arr. Lawson)",3,"Jonny Greenwood, Thom Yorke, Philip Selway, Edward O’Brien, Colin Greenwood, VOCES8, Thomas Gould, Matthew Sharp, Eleanor Turner",LU,NULL
252,The Night We Met,85,Lord Huron,LU,indie
253,"A New Flame (Live at Ziggo Dome, Amsterdam)",0,Simply Red,LU,NULL
254,La vie qu'on mène,68,Ninho,LU,NULL
255,Stretch,0,Louise,LU,great quality stuff
256,lovely (with Khalid),83,"Billie Eilish, Khalid",LU,NULL
257,Skrrt,7,"K27, Einar",LU,NULL
258,See You Again (feat. Kali Uchis),86,"Tyler, The Creator, Kali Uchis",LU,NULL
259,Matador (feat. Tommy),1,"CAPO, Tommy",LU,NULL
260,Something Just Like This,83,"The Chainsmokers, Coldplay",LU,NULL
261,"Your Mirror (Live at Ziggo Dome, Amsterdam)",1,Simply Red,LU,NULL
262,HUMBLE.,84,Kendrick Lamar,LU,rap
263,Enamorado,2,Alexander Stewart,LU,pop
264,Est-ce que tu m'aimes ? - Pilule bleue,71,GIMS,LU,MySpotigramBot
265,"Holding Back the Years (Live at Ziggo Dome, Amsterdam)",2,Simply Red,LU,NULL
266,Someone You Loved,81,Lewis Capaldi,LU,2010s
267,Wenn jetzt Sommer wär (feat. Chapeau Claque),0,"Pretty Pink, Chapeau Claque",LU,NULL
268,HIGHEST IN THE ROOM,80,Travis Scott,LU,MySpotigramBot
269,"For Your Babies (Live at Ziggo Dome, Amsterdam)",1,Simply Red,LU,NULL
270,Cruel Summer,84,Taylor Swift,LU,electropop
271,Downtown,14,"Anitta, J Balvin",LU,NULL
272,Believer,81,Imagine Dragons,LU,rock
273,I'm Better (feat. Lamb),2,"Missy Elliott, Lamb",LU,NULL
274,goosebumps,81,Travis Scott,LU,MySpotigramBot
275,Слэмятся пацаны,2,"Little Big, Ruki Vverh!",LU,NULL
276,Shape of You,83,Ed Sheeran,LU,pop
277,"Say You Love Me (Live at Ziggo Dome, Amsterdam)",1,Simply Red,LU,NULL
278,Unforgettable,81,"French Montana, Swae Lee",LU,NULL
279,"So Beautiful (Live at Ziggo Dome, Amsterdam)",1,Simply Red,LU,NULL
280,Où aller,55,GIMS,LU,NULL
281,Milion słów,1,Jula,LU,polish
282,Starboy,84,"The Weeknd, Daft Punk",LU,NULL
283,Дождь (feat. МакSим),1,"Geegun, MAKSIM",LU,NULL
284,Swim,83,Chase Atlantic,LU,seen live
285,"Someday in My Life (Live at Ziggo Dome, Amsterdam)",0,Simply Red,LU,NULL
286,Ransom,81,Lil Tecca,LU,2010s
287,"Ee Khalbitha (From ""IDI"")",0,"Rahul Raj, Suchith Sureshan",LU,NULL
288,Vrais,68,Ninho,LU,NULL
289,Die Heelal (feat. Early B),0,"Janie Bay, Early B",LU,NULL
290,Always Remember Us This Way,79,Lady Gaga,LU,Love
291,Sirenen,0,Tommy,LU,NULL
292,Shallow,79,"Lady Gaga, Bradley Cooper",LU,NULL
293,言葉のいらない約束,0,sana,LU,J-rock
294,Perfect,83,Ed Sheeran,LU,Ballad
295,Do It Like You Mean It (feat. Yoel 905),0,"Frans, Yoel905",LU,NULL
296,Pink + White,83,Frank Ocean,LU,NULL
297,Pakete,0,Tommy,LU,NULL
298,Lucid Dreams,81,Juice WRLD,LU,MySpotigramBot
299,Stronger Together,0,"Paul van Dyk, Pierre Pienaar",LU,NULL
300,All The Stars (with SZA),90,"Kendrick Lamar, SZA",NL,NULL
301,"Greenwood, Philip Selway, Edward O'Brien, Colin Greenwood: Pyramid Song (Arr. Lawson)",3,"Jonny Greenwood, Thom Yorke, Philip Selway, Edward O’Brien, Colin Greenwood, VOCES8, Thomas Gould, Matthew Sharp, Eleanor Turner",NL,NULL
302,The Night We Met,85,Lord Huron,NL,indie
303,"Holding Back the Years (Live at Ziggo Dome, Amsterdam)",2,Simply Red,NL,NULL
304,See You Again (feat. Kali Uchis),86,"Tyler, The Creator, Kali Uchis",NL,NULL
305,I'm Better (feat. Lamb),2,"Missy Elliott, Lamb",NL,NULL
306,lovely (with Khalid),83,"Billie Eilish, Khalid",NL,NULL
307,"So Beautiful (Live at Ziggo Dome, Amsterdam)",1,Simply Red,NL,NULL
308,Jungle,55,"Broederliefde, $hirak",NL,NULL
309,"Say You Love Me (Live at Ziggo Dome, Amsterdam)",1,Simply Red,NL,NULL
310,Lush Life,77,Zara Larsson,NL,pop
311,Enamorado,2,Alexander Stewart,NL,pop
312,Duurt Te Lang,54,"Davina Michelle, Beste Zangers",NL,NULL
313,"Your Mirror (Live at Ziggo Dome, Amsterdam)",1,Simply Red,NL,NULL
314,Shallow,79,"Lady Gaga, Bradley Cooper",NL,NULL
315,"For Your Babies (Live at Ziggo Dome, Amsterdam)",1,Simply Red,NL,NULL
316,Do Or Die,55,"Jonna Fraser, Broederliefde",NL,NULL
317,"Someday in My Life (Live at Ziggo Dome, Amsterdam)",0,Simply Red,NL,NULL
318,Always Remember Us This Way,79,Lady Gaga,NL,Love
319,God Is Gangsta,0,Kendrick Lamar,NL,NULL
320,Someone You Loved,81,Lewis Capaldi,NL,2010s
321,Слэмятся пацаны,2,"Little Big, Ruki Vverh!",NL,NULL
322,Pink + White,83,Frank Ocean,NL,NULL
323,"A New Flame (Live at Ziggo Dome, Amsterdam)",0,Simply Red,NL,NULL
324,Roller Coaster,54,Danny Vera,NL,Free European Song Contest 2021
325,Verdi: Il Trovatore - Tacea la notte placida,0,"Giuseppe Verdi, Sonya Yoncheva, Massimo Zanetti, Munich Radio Orchestra",NL,NULL
326,when the party's over,80,Billie Eilish,NL,pop
327,Wenn jetzt Sommer wär (feat. Chapeau Claque),0,"Pretty Pink, Chapeau Claque",NL,NULL
328,Without You (feat. Sandro Cavazza),77,"Avicii, Sandro Cavazza",NL,NULL
329,Downtown,14,"Anitta, J Balvin",NL,NULL
330,Something Just Like This,83,"The Chainsmokers, Coldplay",NL,NULL
331,In My Sleep (feat. King Kosa),0,"Konshens, King Kosa",NL,NULL
332,Investeren In De Liefde,54,"SFB, Ronnie Flex, Lil Kleine, Bokoesam",NL,NULL
333,Wake Up (A Fashion Film),0,DAWN,NL,NULL
334,Energie,54,"Ronnie Flex, Frenna",NL,NULL
335,Gönlüm Ataşlara Yandı,0,Kerim Yağcı,NL,NULL
336,This Town,74,Niall Horan,NL,folk
337,Дождь (feat. МакSим),1,"Geegun, MAKSIM",NL,NULL
338,Perfect,83,Ed Sheeran,NL,Ballad
339,Cold Little Heart - Live Session,0,Michael Kiwanuka,NL,NULL
340,Love On The Brain,81,Rihanna,NL,soul
341,Milion słów,1,Jula,NL,polish
342,ocean eyes,79,Billie Eilish,NL,indie
343,In Betweenin',0,Austin Brown,NL,NULL
344,Uptown Funk (feat. Bruno Mars),81,"Mark Ronson, Bruno Mars",NL,NULL
345,Skrrt,7,"K27, Einar",NL,NULL
346,Where's My Love,76,SYML,NL,teen wolf
347,Die Heelal (feat. Early B),0,"Janie Bay, Early B",NL,NULL
348,Lovely Body,53,"SFB, Ronnie Flex",NL,NULL
349,Arcade - 1 Mic 1 Take,0,Duncan Laurence,NL,NULL
