id;nombre_cancion;popularity;artista;pais;genero;Rango_lustros
1584;No Role Modelz;81;J. Cole;ME;MySpotigramBot;2010-2014
1585;Heaven Will Know (Peters Pop-Show 30.11.1985) - Live from Peters Pop Show, 1985;0;Modern Talking;ME;NULL;2010-2014
1586;Sure Thing;81;Miguel;ME;rnb;2010-2014
1587;The Real Slim Shady - Edited;0;Eminem;ME;NULL;2010-2014
1588;Thinkin Bout You;81;Frank Ocean;ME;rnb;2010-2014
1589;好不好;0;Evan Yo;ME;fabulous boys;2010-2014
1590;Young And Beautiful;80;Lana Del Rey;ME;indie;2010-2014
1591;Samba Pras Moças;0;Mariene De Castro;ME;NULL;2010-2014
1592;Love Me;80;Lil Wayne, Drake, Future;ME;NULL;2010-2014
1593;Hardkor i disko;0;Sofa;ME;indie;2010-2014
1594;Shut Up and Dance;80;WALK THE MOON;ME;indie pop;2010-2014
1595;Red Light (feat. Snoop Lion);0;Eddie Murphy, Snoop Lion;ME;NULL;2010-2014
1596;Skyfall;80;Adele;ME;Soundtrack;2010-2014
1597;Losing You;0;Revolver;ME;fip;2010-2014
1598;Why'd You Only Call Me When You're High?;80;Arctic Monkeys;ME;indie rock;2010-2014
1599;Byłem (feat. As);0;Pezet, As;ME;NULL;2010-2014
1600;I Wanna Be Yours;86;Arctic Monkeys;AL;indie rock;2010-2014
1601;Cheri Cheri Lady (Peters Pop-Show 30.11.1985) - Live from Peters Pop Show, 1985;2;Modern Talking;AL;NULL;2010-2014
1602;Sweater Weather;85;The Neighbourhood;AL;indie;2010-2014
1603;You Are Not Alone (Wetten, dass...? 20.02.1999) - Live from Wetten, dass...?, 1999;0;Modern Talking;AL;NULL;2010-2014
1604;Locked out of Heaven;85;Bruno Mars;AL;pop;2010-2014
1605;"Pani Da Rang (From ""Vicky Donor"") - Male Vocals";0;Abhishek - Akshay, Ayushmann Khurrana;AL;NULL;2010-2014
1606;No. 1 Party Anthem;84;Arctic Monkeys;AL;indie rock;2010-2014
1607;You Can Win If You Want (Wetten, dass...? 18.05.1985) - Live from Wetten, dass...?, 1985;0;Modern Talking;AL;NULL;2010-2014
1608;When I Was Your Man;83;Bruno Mars;AL;pop;2010-2014
1609;Geronimo's Cadillac (Peters Pop-Show 06.12.1986) - Live from Peters Pop-Show, 1986;0;Modern Talking;AL;NULL;2010-2014
1610;A Sky Full of Stars;83;Coldplay;AL;pop;2010-2014
1611;Fragile (Director's Cut);0;Tech N9ne, Kendrick Lamar, ¡MAYDAY!, Kendall Morgan;AL;NULL;2010-2014
1612;Night Changes;83;One Direction;AL;pop;2010-2014
1613;Atlantis Is Calling (Na, sowas! 17.05.1986) - Live from Na, sowas!, 1986;0;Modern Talking;AL;NULL;2010-2014
1614;Lovers Rock;82;TV Girl;AL;indie pop;2010-2014
1615;G.U.Y. - An ARTPOP Film;0;Lady Gaga;AL;gaga;2010-2014
1616;Give Me Everything (feat. Nayer);82;Pitbull, AFROJACK, Ne-Yo, Nayer;AL;NULL;2010-2014
1617;Heaven Will Know (Peters Pop-Show 30.11.1985) - Live from Peters Pop Show, 1985;0;Modern Talking;AL;NULL;2010-2014
1618;I Love You So;82;The Walters;AL;MySpotigramBot;2010-2014
1619;The Real Slim Shady - Edited;0;Eminem;AL;NULL;2010-2014
1620;Another Love;82;Tom Odell;AL;indie;2010-2014
1621;Red Light (feat. Snoop Lion);0;Eddie Murphy, Snoop Lion;AL;NULL;2010-2014
1622;Do I Wanna Know?;82;Arctic Monkeys;AL;indie rock;2010-2014
1623;"Rum Whisky (From ""Vicky Donor"")";0;Abhishek - Akshay, Akshay Verma;AL;NULL;2010-2014
1624;Counting Stars;82;OneRepublic;AL;pop rock;2010-2014
1625;"Muskurane (Film Version) [From ""Citylights""]";0;Jeet Gannguli, Arijit Singh;AL;NULL;2010-2014
1626;Wake Me Up;82;Avicii;AL;electronic;2010-2014
1627;Eu Aposto - Ao Vivo;0;Eduardo Costa;AL;NULL;2010-2014
1628;All of Me;81;John Legend;AL;rnb;2010-2014
1629;"Cloud 9 - From ""Cloud 9"" / Original TV Movie Soundtrack";0;Dove Cameron, Luke Benward;AL;NULL;2010-2014
1630;Story of My Life;81;One Direction;AL;pop;2010-2014
1631;Cups (Pitch Perfect’s “When I’m Gone”) - Director's Cut / Closed-Captioned;0;Anna Kendrick;AL;NULL;2010-2014
1632;Photograph;81;Ed Sheeran;AL;pop;2010-2014
1633;Verlieben, verloren, vergessen, verzeih'n (ZDF Hitparade 30.01.1992) - VOD;0;Wolfgang Petry;AL;NULL;2010-2014
1634;No Role Modelz;81;J. Cole;AL;MySpotigramBot;2010-2014
1635;Find Your Love - Extended Version;0;Drake;AL;NULL;2010-2014
1636;Sure Thing;81;Miguel;AL;rnb;2010-2014
1637;All By Myself (ZDF Tele-Illustrierte 17.01.1989) - VOD;0;Peter Hofmann;AL;NULL;2010-2014
1638;Thinkin Bout You;81;Frank Ocean;AL;rnb;2010-2014
1639;Pai;0;Grupo Revelação;AL;samba;2010-2014
1640;Young And Beautiful;80;Lana Del Rey;AL;indie;2010-2014
1641;Wrecking Ball - Director's Cut;0;Miley Cyrus;AL;NULL;2010-2014
1642;Love Me;80;Lil Wayne, Drake, Future;AL;NULL;2010-2014
1643;Smooth Criminal;0;Michael Jackson;AL;pop;2010-2014
1644;Shut Up and Dance;80;WALK THE MOON;AL;indie pop;2010-2014
1645;Magia - Intro;0;Maluma;AL;NULL;2010-2014
1646;Skyfall;80;Adele;AL;Soundtrack;2010-2014
1647;Se Eu Não Te Amasse Tanto Assim;0;Caetano Veloso, Gilberto Gil, Ivete Sangalo;AL;NULL;2010-2014
1648;Why'd You Only Call Me When You're High?;80;Arctic Monkeys;AL;indie rock;2010-2014
1649;Politik Kills;0;Manu Chao;AL;latin;2010-2014
1650;Pame Stihima Tha Xanarthis;50;Pantelis Pantelidis;GR;NULL;2010-2014
1651;Plastic Dreams 2003;2;JayDee;GR;NULL;2010-2014
1652;Paramithiazome;47;Pantelis Pantelidis;GR;NULL;2010-2014
1653;Cheri Cheri Lady (Peters Pop-Show 30.11.1985) - Live from Peters Pop Show, 1985;2;Modern Talking;GR;NULL;2010-2014
1654;I Wanna Be Yours;86;Arctic Monkeys;GR;indie rock;2010-2014
1655;Losing You;0;Revolver;GR;fip;2010-2014
1656;Lioma Se Gremo;48;Pantelis Pantelidis;GR;NULL;2010-2014
1657;Iré tras de ti;0;Mr.;GR;NULL;2010-2014
1658;Sweater Weather;85;The Neighbourhood;GR;indie;2010-2014
1659;Geronimo's Cadillac (Peters Pop-Show 06.12.1986) - Live from Peters Pop-Show, 1986;0;Modern Talking;GR;NULL;2010-2014
1660;Mousiki Gia Tsoglanous;45;LEX, Dof Twogee;GR;NULL;2010-2014
1661;Atlantis Is Calling (Na, sowas! 17.05.1986) - Live from Na, sowas!, 1986;0;Modern Talking;GR;NULL;2010-2014
1662;Itheles Na Mplekseis;44;Kako;GR;NULL;2010-2014
1663;My Girl (feat. Trevor Jackson);0;Diggy, Trevor Jackson;GR;NULL;2010-2014
1664;Melagholia Mou;46;Nikos Oikonomopoulos;GR;NULL;2010-2014
1665;Heaven Will Know (Peters Pop-Show 30.11.1985) - Live from Peters Pop Show, 1985;0;Modern Talking;GR;NULL;2010-2014
1666;Etoimase Mia Efchi;44;Kako;GR;NULL;2010-2014
1667;The Way We See The World;0;AFROJACK, Dimitri Vegas & Like Mike, NERVO;GR;NULL;2010-2014
1668;Ginete;49;Pantelis Pantelidis;GR;world;2010-2014
1669;You Can Win If You Want (Wetten, dass...? 18.05.1985) - Live from Wetten, dass...?, 1985;0;Modern Talking;GR;NULL;2010-2014
1670;Den Teriazete Sou Leo;47;Pantelis Pantelidis;GR;NULL;2010-2014
1671;Bede Z Toba;9;Lemon;GR;NULL;2010-2014
1672;Mono Ex Epafis;44;Giorgos Sabanis;GR;NULL;2010-2014
1673;Bede Z Toba - Hangout Live;2;Lemon;GR;NULL;2010-2014
1674;De Se Sighoro (Sto 'ha Pi);45;Pantelis Pantelidis;GR;NULL;2010-2014
1675;Ballada o Janku Wisniewskim;1;Kazik;GR;rock;2010-2014
1676;Iha Kapote Mia Agapi;47;Pantelis Pantelidis;GR;NULL;2010-2014
1677;You Are Not Alone (Wetten, dass...? 20.02.1999) - Live from Wetten, dass...?, 1999;0;Modern Talking;GR;NULL;2010-2014
1678;Money Trees;79;Kendrick Lamar, Jay Rock;GR;NULL;2010-2014
1679;Il fait chaud;0;Patrick Sébastien;GR;fiesta;2010-2014
1680;Eleges;44;Melisses;GR;NULL;2010-2014
1681;Now Is the Time (feat. Jasmine V);0;Wally Lopez;GR;NULL;2010-2014
1682;Fraxtis;43;LEX, Dof Twogee;GR;NULL;2010-2014
1683;Lågsus (feat. Medina);0;Specktors, Medina;GR;NULL;2010-2014
1684;Doro Gia Sena;44;Nikos Oikonomopoulos;GR;Nicos oikonomopoulos-Doro Gia Sena;2010-2014
1685;"Pani Da Rang (From ""Vicky Donor"") - Male Vocals";0;Abhishek - Akshay, Ayushmann Khurrana;GR;NULL;2010-2014
1686;Do I Wanna Know?;82;Arctic Monkeys;GR;indie rock;2010-2014
1687;25 ปี (มีหวัง);0;พงษ์สิทธิ์ คำภีร์;GR;NULL;2010-2014
1688;West Coast;78;Lana Del Rey;GR;alternative;2010-2014
1689;Fragile (Director's Cut);0;Tech N9ne, Kendrick Lamar, ¡MAYDAY!, Kendall Morgan;GR;NULL;2010-2014
1690;Gia Ton Idio Anthropo Milame;47;Vasilis Karras, Pantelis Pantelidis;GR;NULL;2010-2014
1691;Smile;0;Abel The Kid, Julio Iglesias Jr.;GR;NULL;2010-2014
1692;She Will;75;Lil Wayne, Drake;GR;NULL;2010-2014
1693;G.U.Y. - An ARTPOP Film;0;Lady Gaga;GR;gaga;2010-2014
1694;Ma Pou Na Pao;45;Themis Adamantidis;GR;Greek;2010-2014
1695;The Real Slim Shady - Edited;0;Eminem;GR;NULL;2010-2014
1696;Perastika Tis;45;Vasilis Karras, Foivos;GR;NULL;2010-2014
1697;好不好;0;Evan Yo;GR;fabulous boys;2010-2014
1698;Alkoolikes I Nihtes;44;Pantelis Pantelidis;GR;NULL;2010-2014
1699;Hardkor i disko;0;Sofa;GR;indie;2010-2014
1700;Just the Way You Are;78;Bruno Mars;MT;pop;2010-2014
1701;Cheri Cheri Lady (Peters Pop-Show 30.11.1985) - Live from Peters Pop Show, 1985;2;Modern Talking;MT;NULL;2010-2014
1702;A Sky Full of Stars;83;Coldplay;MT;pop;2010-2014
1703;Plastic Dreams 2003;2;JayDee;MT;NULL;2010-2014
1704;Another Love;82;Tom Odell;MT;indie;2010-2014
1705;Now Is the Time (feat. Jasmine V);0;Wally Lopez;MT;NULL;2010-2014
1706;Locked out of Heaven;85;Bruno Mars;MT;pop;2010-2014
1707;Atlantis Is Calling (Na, sowas! 17.05.1986) - Live from Na, sowas!, 1986;0;Modern Talking;MT;NULL;2010-2014
1708;She Will;75;Lil Wayne, Drake;MT;NULL;2010-2014
1709;Bede Z Toba;9;Lemon;MT;NULL;2010-2014
1710;Sweater Weather;85;The Neighbourhood;MT;indie;2010-2014
1711;Bede Z Toba - Hangout Live;2;Lemon;MT;NULL;2010-2014
1712;Give Me Everything (feat. Nayer);82;Pitbull, AFROJACK, Ne-Yo, Nayer;MT;NULL;2010-2014
1713;Ballada o Janku Wisniewskim;1;Kazik;MT;rock;2010-2014
1714;Wake Me Up;82;Avicii;MT;electronic;2010-2014
1715;You Are Not Alone (Wetten, dass...? 20.02.1999) - Live from Wetten, dass...?, 1999;0;Modern Talking;MT;NULL;2010-2014
1716;Story of My Life;81;One Direction;MT;pop;2010-2014
1717;Iré tras de ti;0;Mr.;MT;NULL;2010-2014
1718;Night Changes;83;One Direction;MT;pop;2010-2014
1719;Il fait chaud;0;Patrick Sébastien;MT;fiesta;2010-2014
1720;All of Me;81;John Legend;MT;rnb;2010-2014
1721;Lågsus (feat. Medina);0;Specktors, Medina;MT;NULL;2010-2014
1722;Demons;79;Imagine Dragons;MT;rock;2010-2014
1723;"Pani Da Rang (From ""Vicky Donor"") - Male Vocals";0;Abhishek - Akshay, Ayushmann Khurrana;MT;NULL;2010-2014
1724;I Wanna Be Yours;86;Arctic Monkeys;MT;indie rock;2010-2014
1725;You Can Win If You Want (Wetten, dass...? 18.05.1985) - Live from Wetten, dass...?, 1985;0;Modern Talking;MT;NULL;2010-2014
1726;Paradise;79;Coldplay;MT;rock;2010-2014
1727;25 ปี (มีหวัง);0;พงษ์สิทธิ์ คำภีร์;MT;NULL;2010-2014
1728;Try;78;P!nk;MT;pop;2010-2014
1729;Geronimo's Cadillac (Peters Pop-Show 06.12.1986) - Live from Peters Pop-Show, 1986;0;Modern Talking;MT;NULL;2010-2014
1730;Photograph;81;Ed Sheeran;MT;pop;2010-2014
1731;Fragile (Director's Cut);0;Tech N9ne, Kendrick Lamar, ¡MAYDAY!, Kendall Morgan;MT;NULL;2010-2014
1732;Take Me To Church;78;Hozier;MT;indie;2010-2014
1733;Smile;0;Abel The Kid, Julio Iglesias Jr.;MT;NULL;2010-2014
1734;When I Was Your Man;83;Bruno Mars;MT;pop;2010-2014
1735;G.U.Y. - An ARTPOP Film;0;Lady Gaga;MT;gaga;2010-2014
1736;Set Fire to the Rain;77;Adele;MT;soul;2010-2014
1737;Heaven Will Know (Peters Pop-Show 30.11.1985) - Live from Peters Pop Show, 1985;0;Modern Talking;MT;NULL;2010-2014
1738;Titanium (feat. Sia);77;David Guetta, Sia;MT;NULL;2010-2014
1739;The Real Slim Shady - Edited;0;Eminem;MT;NULL;2010-2014
1740;Marry You;77;Bruno Mars;MT;pop;2010-2014
1741;好不好;0;Evan Yo;MT;fabulous boys;2010-2014
1742;Money Trees;79;Kendrick Lamar, Jay Rock;MT;NULL;2010-2014
1743;Hardkor i disko;0;Sofa;MT;indie;2010-2014
1744;Grenade;77;Bruno Mars;MT;pop;2010-2014
1745;Red Light (feat. Snoop Lion);0;Eddie Murphy, Snoop Lion;MT;NULL;2010-2014
1746;Love Me;80;Lil Wayne, Drake, Future;MT;NULL;2010-2014
1747;Losing You;0;Revolver;MT;fip;2010-2014
1748;Someone Like You;77;Adele;MT;Adele;2010-2014
1749;Byłem (feat. As);0;Pezet, As;MT;NULL;2010-2014
1750;Pame Stihima Tha Xanarthis;50;Pantelis Pantelidis;CY;NULL;2010-2014
1751;Cheri Cheri Lady (Peters Pop-Show 30.11.1985) - Live from Peters Pop Show, 1985;2;Modern Talking;CY;NULL;2010-2014
1752;Sweater Weather;85;The Neighbourhood;CY;indie;2010-2014
1753;Bede Z Toba;9;Lemon;CY;NULL;2010-2014
1754;I Wanna Be Yours;86;Arctic Monkeys;CY;indie rock;2010-2014
1755;Plastic Dreams 2003;2;JayDee;CY;NULL;2010-2014
1756;Paramithiazome;47;Pantelis Pantelidis;CY;NULL;2010-2014
1757;Bede Z Toba - Hangout Live;2;Lemon;CY;NULL;2010-2014
1758;Lioma Se Gremo;48;Pantelis Pantelidis;CY;NULL;2010-2014
1759;Ballada o Janku Wisniewskim;1;Kazik;CY;rock;2010-2014
1760;Another Love;82;Tom Odell;CY;indie;2010-2014
1761;You Are Not Alone (Wetten, dass...? 20.02.1999) - Live from Wetten, dass...?, 1999;0;Modern Talking;CY;NULL;2010-2014
1762;Just the Way You Are;78;Bruno Mars;CY;pop;2010-2014
1763;Iré tras de ti;0;Mr.;CY;NULL;2010-2014
1764;Locked out of Heaven;85;Bruno Mars;CY;pop;2010-2014
1765;Il fait chaud;0;Patrick Sébastien;CY;fiesta;2010-2014
1766;She Will;75;Lil Wayne, Drake;CY;NULL;2010-2014
1767;Now Is the Time (feat. Jasmine V);0;Wally Lopez;CY;NULL;2010-2014
1768;A Sky Full of Stars;83;Coldplay;CY;pop;2010-2014
1769;Lågsus (feat. Medina);0;Specktors, Medina;CY;NULL;2010-2014
1770;Ginete;49;Pantelis Pantelidis;CY;world;2010-2014
1771;"Pani Da Rang (From ""Vicky Donor"") - Male Vocals";0;Abhishek - Akshay, Ayushmann Khurrana;CY;NULL;2010-2014
1772;No Role Modelz;81;J. Cole;CY;MySpotigramBot;2010-2014
1773;You Can Win If You Want (Wetten, dass...? 18.05.1985) - Live from Wetten, dass...?, 1985;0;Modern Talking;CY;NULL;2010-2014
1774;Do I Wanna Know?;82;Arctic Monkeys;CY;indie rock;2010-2014
1775;25 ปี (มีหวัง);0;พงษ์สิทธิ์ คำภีร์;CY;NULL;2010-2014
1776;Money Trees;79;Kendrick Lamar, Jay Rock;CY;NULL;2010-2014
1777;Geronimo's Cadillac (Peters Pop-Show 06.12.1986) - Live from Peters Pop-Show, 1986;0;Modern Talking;CY;NULL;2010-2014
1778;Den Teriazete Sou Leo;47;Pantelis Pantelidis;CY;NULL;2010-2014
1779;Fragile (Director's Cut);0;Tech N9ne, Kendrick Lamar, ¡MAYDAY!, Kendall Morgan;CY;NULL;2010-2014
1780;Danza Kuduro;77;Don Omar, Lucenzo;CY;NULL;2010-2014
1781;Smile;0;Abel The Kid, Julio Iglesias Jr.;CY;NULL;2010-2014
1782;Gia Ton Idio Anthropo Milame;47;Vasilis Karras, Pantelis Pantelidis;CY;NULL;2010-2014
1783;Atlantis Is Calling (Na, sowas! 17.05.1986) - Live from Na, sowas!, 1986;0;Modern Talking;CY;NULL;2010-2014
1784;Iha Kapote Mia Agapi;47;Pantelis Pantelidis;CY;NULL;2010-2014
1785;G.U.Y. - An ARTPOP Film;0;Lady Gaga;CY;gaga;2010-2014
1786;Melagholia Mou;46;Nikos Oikonomopoulos;CY;NULL;2010-2014
1787;Heaven Will Know (Peters Pop-Show 30.11.1985) - Live from Peters Pop Show, 1985;0;Modern Talking;CY;NULL;2010-2014
1788;Love Me;80;Lil Wayne, Drake, Future;CY;NULL;2010-2014
1789;The Real Slim Shady - Edited;0;Eminem;CY;NULL;2010-2014
1790;Perastika Tis;45;Vasilis Karras, Foivos;CY;NULL;2010-2014
1791;好不好;0;Evan Yo;CY;fabulous boys;2010-2014
1792;Set Fire to the Rain;77;Adele;CY;soul;2010-2014
1793;Hardkor i disko;0;Sofa;CY;indie;2010-2014
1794;Give Me Everything (feat. Nayer);82;Pitbull, AFROJACK, Ne-Yo, Nayer;CY;NULL;2010-2014
1795;Red Light (feat. Snoop Lion);0;Eddie Murphy, Snoop Lion;CY;NULL;2010-2014
1796;No. 1 Party Anthem;84;Arctic Monkeys;CY;indie rock;2010-2014
1797;Losing You;0;Revolver;CY;fip;2010-2014
1798;Take Me To Church;78;Hozier;CY;indie;2010-2014
1799;Byłem (feat. As);0;Pezet, As;CY;NULL;2010-2014
1800;El Efecto - Remix;68;Rauw Alejandro, Chencho Corleone, KEVVO, Bryant Myers, Lyanno, Dalex;ES;NULL;2015-2019
1801;Greenwood, Philip Selway, Edward O'Brien, Colin Greenwood: Pyramid Song (Arr. Lawson);3;Jonny Greenwood, Thom Yorke, Philip Selway, Edward O’Brien, Colin Greenwood, VOCES8, Thomas Gould, Matthew Sharp, Eleanor Turner;ES;NULL;2015-2019
1802;Amanece;75;Anuel AA, Haze;ES;NULL;2015-2019
1803;Enamorado;2;Alexander Stewart;ES;pop;2015-2019
1804;Hasta Que Me Muera;70;Bryant Myers;ES;NULL;2015-2019
1805;Holding Back the Years (Live at Ziggo Dome, Amsterdam);2;Simply Red;ES;NULL;2015-2019
1806;Fiebre (Prod. King DouDou);67;Bad Gyal;ES;neoperreo;2015-2019
1807;Слэмятся пацаны;2;Little Big, Ruki Vverh!;ES;NULL;2015-2019
1808;No Me Conoce - Remix;77;JHAYCO, J Balvin, Bad Bunny;ES;NULL;2015-2019
1809;I'm Better (feat. Lamb);2;Missy Elliott, Lamb;ES;NULL;2015-2019
1810;LA CANCIÓN;80;J Balvin, Bad Bunny;ES;NULL;2015-2019
1811;Stretch;0;Louise;ES;great quality stuff;2015-2019
1812;Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn);75;Maluma, Trap Capos, Noriel, Bryant Myers, Juhn;ES;NULL;2015-2019
1813;Say You Love Me (Live at Ziggo Dome, Amsterdam);1;Simply Red;ES;NULL;2015-2019
1814;Sola (Remix);74;Anuel AA, Daddy Yankee, Zion & Lennox, Farruko, Wisin;ES;NULL;2015-2019
1815;So Beautiful (Live at Ziggo Dome, Amsterdam);1;Simply Red;ES;NULL;2015-2019
1816;Borro Cassette;77;Maluma;ES;Reggaeton;2015-2019
1817;A New Flame (Live at Ziggo Dome, Amsterdam);0;Simply Red;ES;NULL;2015-2019
1818;A Mí;76;Rels B;ES;latin;2015-2019
1819;For Your Babies (Live at Ziggo Dome, Amsterdam);1;Simply Red;ES;NULL;2015-2019
1820;Madura;73;Cosculluela, Bad Bunny;ES;NULL;2015-2019
1821;Your Mirror (Live at Ziggo Dome, Amsterdam);1;Simply Red;ES;NULL;2015-2019
1822;Antes de Morirme (feat. ROSALÍA);67;C. Tangana, ROSALÍA;ES;NULL;2015-2019
1823;Wenn jetzt Sommer wär (feat. Chapeau Claque);0;Pretty Pink, Chapeau Claque;ES;NULL;2015-2019
1824;Esclava - Remix;72;Bryant Myers, Anonimus, Anuel AA, Almighty;ES;NULL;2015-2019
1825;Someday in My Life (Live at Ziggo Dome, Amsterdam);0;Simply Red;ES;NULL;2015-2019
1826;Se Preparó;75;Ozuna;ES;latin;2015-2019
1827;Did You Love Me;0;Shannon & the Clams;ES;NULL;2015-2019
1828;Diles;74;Bad Bunny, Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz;ES;NULL;2015-2019
1829;Even Angels (feat. Blas Cantó);0;Carlos Marco, Blas Cantó;ES;NULL;2015-2019
1830;Cómo Te Atreves;71;Morat;ES;spanish;2015-2019
1831;言葉のいらない約束;0;sana;ES;J-rock;2015-2019
1832;Te Pintaron Pajaritos;70;Yandar & Yostin, Andy Rivera;ES;NULL;2015-2019
1833;Skrrt;7;K27, Einar;ES;NULL;2015-2019
1834;X (feat. Maluma & Ozuna) - Remix;77;Nicky Jam, J Balvin, Maluma, Ozuna;ES;NULL;2015-2019
1835;Tabarnak;0;Volo;ES;NULL;2015-2019
1836;Cuando Nadie Ve;74;Morat;ES;NULL;2015-2019
1837;Hate to Love (feat. Jamie T);0;Beatsteaks, Jamie T;ES;NULL;2015-2019
1838;Besos En Guerra;73;Morat, Juanes;ES;NULL;2015-2019
1839;REASON;0;SYU(from GALNERYUS);ES;NULL;2015-2019
1840;Caile;69;Bad Bunny, Bryant Myers, De La Ghetto, Revol, Zion;ES;NULL;2015-2019
1841;Smooth Sailin' - Live;0;Leon Bridges;ES;NULL;2015-2019
1842;Manicomio;70;Cosculluela;ES;NULL;2015-2019
1843;Lead Me On;0;Louise;ES;NULL;2015-2019
1844;She Don't Give a Fo;69;Duki, KHEA;ES;NULL;2015-2019
1845;Popurrí Navidad Navidad (Campana sobre campana / 25 de diciembre / Alegría, alegría, alegría);0;Pica-Pica;ES;NULL;2015-2019
1846;El Perdedor;76;Maluma;ES;Reggaeton;2015-2019
1847;No Soy Como Tú Crees (Acústico);0;Ana Mena;ES;NULL;2015-2019
1848;Loco;73;Beéle;ES;NULL;2015-2019
1849;Lo Saben Mis Zapatos - En Directo En El Palau Sant Jordi / 2018;0;Pablo López;ES;NULL;2015-2019
1850;Vrais;68;Ninho;FR;NULL;2015-2019
1851;Greenwood, Philip Selway, Edward O'Brien, Colin Greenwood: Pyramid Song (Arr. Lawson);3;Jonny Greenwood, Thom Yorke, Philip Selway, Edward O’Brien, Colin Greenwood, VOCES8, Thomas Gould, Matthew Sharp, Eleanor Turner;FR;NULL;2015-2019
1852;Sous la lune;70;Jul;FR;NULL;2015-2019
1853;Слэмятся пацаны;2;Little Big, Ruki Vverh!;FR;NULL;2015-2019
1854;La vie qu'on mène;68;Ninho;FR;NULL;2015-2019
1855;Holding Back the Years (Live at Ziggo Dome, Amsterdam);2;Simply Red;FR;NULL;2015-2019
1856;Putana;67;Ninho;FR;NULL;2015-2019
1857;Your Mirror (Live at Ziggo Dome, Amsterdam);1;Simply Red;FR;NULL;2015-2019
1858;Big Daddy Jok;66;Jok'air;FR;NULL;2015-2019
1859;Mi Gna (Maître Gims Remix) (feat. Hayko);0;GIMS, Super Sako, Hayko;FR;NULL;2015-2019
1860;Où aller;64;GIMS;FR;NULL;2015-2019
1861;For Your Babies (Live at Ziggo Dome, Amsterdam);1;Simply Red;FR;NULL;2015-2019
1862;92i veyron;65;Booba;FR;numbers;2015-2019
1863;Say You Love Me (Live at Ziggo Dome, Amsterdam);1;Simply Red;FR;NULL;2015-2019
1864;Bonbon à la menthe;64;Jok'air, Mallaury;FR;NULL;2015-2019
1865;A New Flame (Live at Ziggo Dome, Amsterdam);0;Simply Red;FR;NULL;2015-2019
1866;Ridin';64;Booba;FR;NULL;2015-2019
1867;Someday in My Life (Live at Ziggo Dome, Amsterdam);0;Simply Red;FR;NULL;2015-2019
1868;Placebo;65;Dinos;FR;NULL;2015-2019
1869;"Ee Khalbitha (From ""IDI"")";0;Rahul Raj, Suchith Sureshan;FR;NULL;2015-2019
1870;All The Stars (with SZA);90;Kendrick Lamar, SZA;FR;NULL;2015-2019
1871;Downtown;14;Anitta, J Balvin;FR;NULL;2015-2019
1872;Dis-moi que tu m'aimes;64;Ninho;FR;NULL;2015-2019
1873;Skrrt;7;K27, Einar;FR;NULL;2015-2019
1874;Θ. Macarena;64;Damso;FR;NULL;2015-2019
1875;I'm Better (feat. Lamb);2;Missy Elliott, Lamb;FR;NULL;2015-2019
1876;Sourire;62;Ninho;FR;NULL;2015-2019
1877;Enamorado;2;Alexander Stewart;FR;pop;2015-2019
1878;Maman ne le sait pas (feat. Niska);63;Ninho, Niska;FR;NULL;2015-2019
1879;So Beautiful (Live at Ziggo Dome, Amsterdam);1;Simply Red;FR;NULL;2015-2019
1880;Reine;64;Dadju;FR;NULL;2015-2019
1881;Matador (feat. Tommy);1;CAPO, Tommy;FR;NULL;2015-2019
1882;Avec Toi;63;OBOY;FR;NULL;2015-2019
1883;Milion słów;1;Jula;FR;polish;2015-2019
1884;The Night We Met;85;Lord Huron;FR;indie;2015-2019
1885;Дождь (feat. МакSим);1;Geegun, MAKSIM;FR;NULL;2015-2019
1886;La misère est si belle;63;PNL;FR;MySpotigramBot;2015-2019
1887;Wenn jetzt Sommer wär (feat. Chapeau Claque);0;Pretty Pink, Chapeau Claque;FR;NULL;2015-2019
1888;Δ. Dieu ne ment jamais;62;Damso;FR;NULL;2015-2019
1889;Stretch;0;Louise;FR;great quality stuff;2015-2019
1890;Ce soir ne sors pas;63;Lacrim, GIMS;FR;NULL;2015-2019
1891;Die Heelal (feat. Early B);0;Janie Bay, Early B;FR;NULL;2015-2019
1892;Scarface;62;Booba;FR;french rap;2015-2019
1893;Sirenen;0;Tommy;FR;NULL;2015-2019
1894;J'fais mes affaires;62;Djadja & Dinaz;FR;NULL;2015-2019
1895;言葉のいらない約束;0;sana;FR;J-rock;2015-2019
1896;Est-ce que tu m'aimes ? - Pilule bleue;71;GIMS;FR;MySpotigramBot;2015-2019
1897;Do It Like You Mean It (feat. Yoel 905);0;Frans, Yoel905;FR;NULL;2015-2019
1898;Un Poco;61;Ninho;FR;MySpotigramBot;2015-2019
1899;Pakete;0;Tommy;FR;NULL;2015-2019
1900;All The Stars (with SZA);90;Kendrick Lamar, SZA;MC;NULL;2015-2019
1901;Downtown;14;Anitta, J Balvin;MC;NULL;2015-2019
1902;See You Again (feat. Kali Uchis);86;Tyler, The Creator, Kali Uchis;MC;NULL;2015-2019
1903;Skrrt;7;K27, Einar;MC;NULL;2015-2019
1904;The Night We Met;85;Lord Huron;MC;indie;2015-2019
