id;nombre_cancion;popularity;artista;pais;genero;Rango_lustros
238;Od Višine Se Zvrti;28;Vlado Kreslin, Siddharta;SI;NULL;2000-2004
239;Wierz? w siebie;0;Harlem;SI;NULL;2000-2004
240;Clocks;79;Coldplay;SI;rock;2000-2004
241;Eso de saber;0;Revolver;SI;LO MAS;2000-2004
242;In Da Club;77;50 Cent;SI;rap;2000-2004
243;Take Me Home;0;Terror Squad, remy, Fat Joe, Dre, Armageddon;SI;NULL;2000-2004
244;How You Remind Me;80;Nickelback;SI;rock;2000-2004
245;Love Is Alive - Live;;;;;2000-2004
246;Marjanca;27;Brendi;SI;NULL;2000-2004
247;Ni na no;0;Javier Álvarez;SI;NULL;2000-2004
248;Napoj;27;Siddharta;SI;rock;2000-2004
249;Call Me;0;Blondie;SI;80s;2000-2004
250;Dajem ti rič;41;Dalmatino;HR;NULL;2000-2004
251;Angel;28;Shaggy, Rayvon;HR;NULL;2000-2004
252;Crno i zlatno;46;Seka Aleksić;HR;Seka;2000-2004
253;La vita è;1;Nek;HR;pop;2000-2004
254;Ditelina S Četri Lista (feat. Oliver Dragojević);40;Dalmatino, Oliver Dragojevic;HR;NULL;2000-2004
255;He Loves U Not;0;Dream;HR;pop;2000-2004
256;9000 Metara;43;Zeljko Samardzic;HR;niice song;2000-2004
257;This Is My Time;0;Sasha;HR;pop;2000-2004
258;Cvit Od Kamena;38;Dalmatino;HR;NULL;2000-2004
259;Cabelo Raspadinho;2;Chiclete Com Banana;HR;brasil;2000-2004
260;Kad Mi Dođeš Ti;43;Oliver Dragojevic;HR;NULL;2000-2004
261;Devolva-Me;1;Adriana Calcanhotto;HR;mpb;2000-2004
262;Ti Zaplakaćeš Na Mojoj Strani Kreveta;42;Sanja Đorđević;HR;NULL;2000-2004
263;Rooftop;0;Sasha;HR;pop;2000-2004
264;Without Me;83;Eminem;HR;rap;2000-2004
265;Stuck in the Middle with You;0;Louise;HR;pop;2000-2004
266;Takvi Kao Ti;41;Nina Badric;HR;pop;2000-2004
